student_id,gpa,year,major,credits,sleep_hrs,study_hrs,social_hrs,screen_hrs,mental_health_score,extracurriculars,extracurricular_hrs,has_minor,part_time_job,commuter,first_gen
WU0109,3.13,Freshman,English,18,7.5,11.5,4.9,1.9,6.0,1,0.9,0,1,1,0
WU0110,4.0,Junior,Psychology,14,6.8,13.1,11.5,6.0,8.0,2,6.1,0,0,0,0
WU0111,1.57,Freshman,Other,16,6.9,2.7,14.7,5.3,7.0,0,0.0,0,0,0,1
WU0112,3.08,Sophomore,Other,18,5.0,24.1,14.7,3.8,2.0,4,10.7,0,1,0,0
WU0113,3.14,Senior,CS,14,5.1,21.9,10.1,5.8,6.0,1,1.7,1,0,0,0
WU0114,4.0,Freshman,Other,14,8.8,22.7,0.0,3.4,10.0,4,9.9,0,0,0,1
WU0115,3.38,Senior,Economics,14,7.2,21.8,,5.5,7.0,1,2.9,1,0,0,1
WU0116,3.15,Sophomore,Biology,13,6.2,14.1,3.1,6.1,8.0,3,4.1,0,0,0,0
WU0117,3.35,Freshman,Economics,14,6.1,22.4,5.6,3.7,9.0,0,0.0,1,0,0,0
WU0118,3.35,Junior,Other,12,8.0,14.2,10.4,4.0,8.0,1,3.2,0,0,1,0
WU0119,2.66,Junior,Economics,14,5.7,18.7,17.8,1.6,6.0,2,5.3,0,1,0,0
WU0120,4.0,Senior,Biology,13,9.0,24.4,22.8,2.3,9.0,1,3.5,1,0,0,0
WU0121,2.29,Junior,Psychology,15,5.8,5.9,12.7,9.6,6.0,2,5.6,0,1,1,0
WU0122,2.41,Senior,Biology,12,7.4,5.4,9.1,,6.0,2,3.4,1,0,0,1
WU0123,2.93,Sophomore,CS,15,6.7,10.3,11.5,1.0,5.0,2,7.8,0,1,1,0
WU0124,3.16,Freshman,CS,17,6.9,7.8,16.0,2.9,8.0,4,12.6,0,0,0,0
WU0125,3.63,Junior,CS,10,6.7,31.0,3.2,4.8,5.0,2,6.2,0,1,0,0
WU0126,4.0,Senior,CS,16,7.2,43.5,11.2,,9.0,4,14.6,1,0,1,1
WU0127,2.69,Senior,CS,18,6.0,16.7,9.3,6.1,5.0,2,4.2,0,0,1,0
WU0128,3.03,Sophomore,Psychology,12,5.9,16.7,11.4,4.3,3.0,1,4.7,0,0,1,0
WU0129,2.88,Sophomore,Biology,18,7.3,0.9,14.7,4.3,6.0,2,5.0,0,0,0,0
WU0130,2.89,Junior,English,16,5.9,9.4,11.8,5.4,1.0,4,11.3,0,0,0,0
WU0131,2.17,Sophomore,Other,13,,2.4,16.4,5.7,6.0,2,6.8,0,0,0,0
WU0132,3.04,Senior,Economics,14,5.5,11.3,5.0,0.2,7.0,0,0.0,1,1,0,1
WU0133,2.04,Senior,Psychology,16,3.4,10.9,6.1,4.7,2.0,3,12.3,1,0,1,1
WU0134,3.76,Sophomore,CS,15,6.8,13.3,2.6,2.5,6.0,0,0.0,1,0,0,0
WU0135,2.82,Junior,Biology,16,9.0,0.0,13.9,5.5,10.0,5,12.8,1,0,1,0
WU0136,4.0,Junior,CS,12,8.3,27.5,9.3,8.9,6.0,2,1.8,0,1,0,1
WU0137,2.25,Freshman,CS,15,6.6,2.0,14.3,5.8,3.0,3,6.4,1,0,0,0
WU0138,3.36,Senior,Biology,12,6.7,18.2,16.6,,8.0,2,6.0,0,0,0,0
WU0139,4.0,Sophomore,CS,15,7.2,34.0,4.7,5.4,10.0,4,8.8,0,0,1,0
WU0140,2.55,Senior,CS,12,7.0,3.7,14.3,6.3,6.0,1,0.9,0,1,1,0
WU0141,2.47,Sophomore,CS,12,5.7,0.0,5.2,5.3,7.0,1,5.3,0,1,1,0
WU0142,3.94,Senior,Economics,18,8.0,20.1,4.0,4.7,9.0,2,4.1,1,0,0,1
WU0143,2.63,Sophomore,Biology,17,6.6,13.5,13.7,9.4,3.0,1,2.7,0,1,1,1
WU0144,3.64,Freshman,English,15,7.5,27.3,11.4,2.0,5.0,4,6.7,0,1,1,1
WU0145,3.7,Senior,Economics,12,7.6,9.8,7.0,5.2,,3,9.5,0,0,0,0
WU0146,3.36,Freshman,Psychology,14,7.1,19.2,7.4,2.1,9.0,2,4.4,1,1,0,0
WU0147,2.34,Sophomore,CS,17,6.9,5.2,2.8,6.4,6.0,0,0.0,0,0,0,1
WU0148,2.84,Senior,Undecided,15,6.9,10.4,,3.6,4.0,4,13.7,0,0,1,1
WU0149,4.0,Senior,Psychology,20,5.9,38.1,8.2,3.0,8.0,1,4.2,0,0,1,0
WU0150,3.05,Junior,CS,16,6.1,5.8,12.8,3.8,4.0,4,9.9,1,0,0,1
WU0151,2.87,Junior,Other,16,6.9,18.7,10.1,6.1,5.0,3,0.0,1,0,1,1
WU0152,3.35,Sophomore,Other,13,8.6,18.5,8.0,5.9,7.0,2,5.8,0,1,1,0
WU0153,2.68,Sophomore,CS,15,5.3,19.8,8.2,2.4,7.0,1,1.7,0,0,0,0
WU0154,3.08,Sophomore,Biology,14,5.4,16.8,,4.4,7.0,1,0.3,0,0,0,0
WU0155,3.55,Junior,Undecided,16,6.9,19.3,11.1,2.8,6.0,1,3.1,0,0,1,0
WU0156,2.36,Junior,Psychology,16,6.2,7.7,12.2,2.6,6.0,1,1.6,0,1,0,0
WU0157,4.0,Senior,Biology,13,7.8,28.1,7.0,2.6,7.0,3,9.8,1,0,1,1
WU0158,3.65,Senior,Biology,12,7.5,17.5,4.2,3.5,7.0,4,13.4,0,0,0,0
WU0159,2.67,Freshman,English,11,6.8,13.9,0.0,9.8,1.0,3,7.8,0,0,1,0
WU0160,3.09,Sophomore,Economics,16,8.6,14.7,14.3,4.8,6.0,2,3.7,1,0,1,0
WU0161,2.4,Freshman,Psychology,12,4.9,10.9,7.7,2.5,5.0,2,5.2,0,1,1,0
WU0162,2.29,Junior,English,9,6.6,19.0,2.3,2.8,4.0,2,3.5,0,1,0,1
WU0163,3.78,Sophomore,Economics,16,7.0,28.2,9.4,5.4,7.0,0,0.0,0,0,1,0
WU0164,1.34,Senior,Psychology,20,,10.0,7.0,9.0,3.0,3,14.8,0,1,1,0
WU0165,3.55,Sophomore,CS,15,7.0,5.8,15.5,,9.0,2,4.5,1,0,0,1
WU0166,4.0,Freshman,Biology,16,8.5,22.8,10.7,0.5,9.0,3,5.1,0,1,1,0
WU0167,3.07,Freshman,Psychology,15,7.3,10.5,13.1,7.5,5.0,3,6.5,1,0,0,0
WU0168,4.0,Junior,Other,15,7.7,19.6,0.0,3.9,6.0,3,8.0,0,0,0,0
WU0169,2.2,Junior,Economics,17,,9.9,15.9,3.0,4.0,1,4.6,0,0,0,0
WU0170,3.47,Freshman,Economics,14,6.1,20.7,,,4.0,4,6.8,0,0,0,0
WU0171,2.76,Freshman,CS,15,6.2,0.0,10.2,0.2,5.0,3,6.9,0,0,0,0
WU0172,3.37,Junior,English,16,6.0,35.6,5.8,4.7,3.0,4,8.6,0,0,1,0
WU0173,3.84,Freshman,Economics,14,8.4,21.4,0.0,5.0,4.0,1,1.3,1,0,0,1
WU0174,2.92,Senior,Biology,16,7.0,18.3,,5.9,7.0,2,6.3,0,1,1,0
WU0175,3.03,Junior,Biology,15,5.7,16.8,2.1,2.3,6.0,1,2.2,1,0,0,0
WU0176,3.43,Freshman,English,13,7.7,19.9,0.2,4.0,5.0,1,2.8,0,0,0,0
WU0177,3.1,Freshman,CS,16,7.1,15.5,0.5,2.6,7.0,2,6.7,1,1,0,0
WU0178,3.97,Senior,Biology,13,8.7,29.0,10.5,3.8,6.0,1,1.4,1,0,1,0
WU0179,4.0,Sophomore,Biology,15,8.5,17.7,4.8,2.9,7.0,5,2.9,1,0,0,0
WU0180,3.99,Sophomore,Biology,15,6.7,27.7,13.1,1.7,8.0,1,1.5,1,0,0,1
WU0181,3.15,Senior,CS,17,5.5,16.2,4.3,2.1,5.0,2,2.2,1,1,1,0
WU0182,2.4,Senior,Other,16,4.9,11.9,0.0,6.3,5.0,4,11.1,0,0,0,0
WU0183,1.84,Senior,Psychology,14,,9.3,3.3,6.8,4.0,1,3.3,0,1,0,0
WU0184,3.3,Junior,Psychology,16,7.1,24.6,13.0,3.5,5.0,0,0.0,0,1,0,1
WU0185,2.24,Sophomore,Undecided,17,7.3,15.9,7.7,4.6,5.0,5,14.0,1,1,1,0
WU0186,2.47,Freshman,Economics,15,6.8,0.0,8.3,1.4,4.0,1,3.5,0,1,0,0
WU0187,3.15,Junior,CS,15,6.6,23.0,7.4,3.4,5.0,4,6.5,1,0,1,0
WU0188,3.71,Junior,Economics,12,7.3,17.8,10.5,4.3,3.0,4,5.6,0,0,0,1
WU0189,2.44,Sophomore,Economics,12,5.7,9.7,16.2,10.0,4.0,0,0.0,0,1,1,0
WU0190,2.86,Senior,Psychology,14,8.6,7.7,18.0,3.4,6.0,2,3.3,0,0,1,1
WU0191,3.19,Freshman,English,13,5.3,20.5,6.3,7.4,4.0,4,7.1,0,0,1,0
WU0192,3.38,Sophomore,CS,14,7.2,24.2,0.0,5.6,6.0,0,0.0,0,1,0,0
WU0193,3.32,Freshman,Biology,14,9.1,7.2,8.0,4.9,7.0,1,2.2,0,1,1,0
WU0194,2.63,Sophomore,English,16,6.3,11.9,11.3,8.6,6.0,1,1.2,0,0,0,0
WU0195,3.0,Freshman,Psychology,15,6.8,7.0,5.0,5.1,7.0,0,0.0,0,0,0,0
WU0196,3.05,Freshman,Economics,16,6.6,4.7,5.4,5.0,4.0,2,4.2,0,0,0,0
WU0197,2.41,Freshman,English,15,6.4,4.9,13.2,5.0,3.0,1,2.6,0,0,1,1
WU0198,3.58,Junior,Other,10,8.7,22.6,6.5,6.6,5.0,2,7.6,1,1,1,0
WU0199,2.51,Junior,Psychology,13,4.6,23.9,6.8,6.4,4.0,1,2.5,0,0,1,0
WU0200,2.99,Junior,Biology,14,8.2,14.9,4.7,4.0,5.0,0,0.0,0,0,0,0
