"CASHTOWN 1 S, PA US (USC00363226)",,,,,
Date,TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
7/15/12,80,63,0.02,0,0
7/16/12,88,68,0.46,0,0
7/17/12,90,64,0,0,0
7/18/12,96,74,0,0,0
7/19/12,95,70,0.09,0,0
7/20/12,87,66,0.85,0,0
7/21/12,70,60,0.55,0,0
7/22/12,70,60,0.05,0,0
7/23/12,80,62,0,0,0
7/24/12,87,65,0,0,0
7/25/12,88,59,0,0,0
7/26/12,83,59,0,0,0
7/27/12,95,63,0.25,0,0
7/28/12,88,65,0,0,0
7/29/12,86,63,0,0,0
7/30/12,84,58,0,0,0
7/31/12,81,60,0,0,0
8/1/12,84,65,0.75,0,0
8/2/12,83,63,0,0,0
8/3/12,89,64,0,0,0
8/4/12,86,65,0,0,0
8/5/12,87,67,0,0,0
8/6/12,89,68,1.47,0,0
8/7/12,86,61,0,0,0
8/8/12,84,62,0,0,0
8/9/12,88,63,0,0,0
8/10/12,88,65,0.47,0,0
8/11/12,81,66,0.45,0,0
8/12/12,82,57,0,0,0
8/13/12,81,56,0,0,0
8/14/12,82,58,0.34,0,0
8/15/12,81,62,0.25,0,0
8/16/12,79,58,0,0,0
8/17/12,83,59,0,0,0
8/18/12,86,60,0.36,0,0
8/19/12,79,54,0,0,0
8/20/12,69,58,0.12,0,0
8/21/12,76,53,0.58,0,0
8/22/12,77,54,0,0,0
8/23/12,81,56,0,0,0
8/24/12,83,58,0,0,0
8/25/12,84,61,0,0,0
8/26/12,77,64,0.1,0,0
8/27/12,76,65,0.83,0,0
8/28/12,85,67,0,0,0
8/29/12,83,57,0,0,0
8/30/12,80,53,0,0,0
8/31/12,82,54,0,0,0
9/1/12,,,0,0,0
9/2/12,,,0.21,0,0
9/3/12,,,0,0,0
9/4/12,,,1.59,0,0
9/5/12,,,,0,0
9/6/12,,,,0,0
9/7/12,,,,0,0
9/8/12,,,,0,0
9/9/12,,,0.33,0,0
9/10/12,,,0,0,0
9/11/12,,,0,0,0
9/12/12,,,0,0,0
9/13/12,,,0,0,0
9/14/12,,,0,0,0
9/15/12,,,0,0,0
9/16/12,,,0,0,0
9/17/12,,,0,0,0
9/18/12,,,0.27,0,0
9/19/12,,,2.86,0,0
9/20/12,,,0,0,0
9/21/12,,,0,0,0
9/22/12,,,0,0,0
9/23/12,,,0,0,0
9/24/12,,,0,0,0
9/25/12,,,0,0,0
9/26/12,,,0,0,0
9/27/12,,,0.3,0,0
9/28/12,,,0.47,0,0
9/29/12,,,0,0,0
9/30/12,,,0.01,0,0
10/1/12,65,41,0.11,0,0
10/2/12,70,41,0.1,0,0
10/3/12,62,57,0.44,0,0
10/4/12,77,62,0.06,0,0
10/5/12,76,52,0,0,0
10/6/12,77,50,0,0,0
10/7/12,68,42,0,0,0
10/8/12,51,34,0.05,0,0
10/9/12,47,41,0.13,0,0
10/10/12,58,42,0,0,0
10/11/12,66,37,0,0,0
10/12/12,59,34,0,0,0
10/13/12,56,27,0,0,0
10/14/12,55,28,0,0,0
10/15/12,69,46,0,0,0
10/16/12,65,47,0.1,0,0
10/17/12,59,33,0,0,0
10/18/12,63,34,0,0,0
10/19/12,66,47,1.08,0,0
10/20/12,67,47,0,0,0
10/21/12,61,36,0,0,0
10/22/12,61,36,0,0,0
10/23/12,68,37,0,0,0
10/24/12,70,46,0.11,0,0
10/25/12,77,50,0,0,0
10/26/12,61,54,0,0,0
10/27/12,64,56,0,0,0
10/28/12,65,55,0,0,0
10/29/12,56,47,0.38,0,0
10/30/12,51,39,3.34,0,0
10/31/12,40,37,0.52,0,0
11/1/12,44,37,0.04,0,0
11/2/12,47,33,0.04,0,0
11/3/12,48,34,0,0,0
11/4/12,45,34,0,0,0
11/5/12,46,34,0,0,0
11/6/12,44,21,0,0,0
11/7/12,41,22,0,0,0
11/8/12,40,33,0,0,0
11/9/12,49,35,0,0,0
11/10/12,54,30,0,0,0
11/11/12,58,31,0,0,0
11/12/12,64,32,0,0,0
11/13/12,65,37,0.52,0,0
11/14/12,44,27,0,0,0
11/15/12,44,27,0,0,0
11/16/12,43,29,0,0,0
11/17/12,51,26,0,0,0
11/18/12,53,27,0,0,0
11/19/12,50,28,0,0,0
11/20/12,50,29,0,0,0
11/21/12,50,27,0,0,0
11/22/12,55,27,0,0,0
11/23/12,56,26,0,0,0
11/24/12,59,27,0,0,0
11/25/12,37,30,0,0,0
11/26/12,40,20,0,0,0
11/27/12,48,22,0.26,0.1,0
11/28/12,37,29,0.1,0,0
11/29/12,43,21,0,0,0
11/30/12,45,23,0,0,0
12/1/12,50,26,0,0,0
12/2/12,40,29,0,0,0
12/3/12,45,37,0.03,0,0
12/4/12,65,41,0,0,0
12/5/12,71,43,0,0,0
12/6/12,53,20,0,0,0
12/7/12,39,21,0.03,0,0
12/8/12,39,31,0.14,0,0
12/9/12,49,37,0.05,0,0
12/10/12,45,40,0.51,0,0
12/11/12,53,39,0.08,0,0
12/12/12,45,27,0,0,0
12/13/12,39,22,0,0,0
12/14/12,44,20,0,0,0
12/15/12,51,21,0,0,0
12/16/12,49,27,0,0,0
12/17/12,45,36,0,0,0
12/18/12,46,39,0.36,0,0
12/19/12,53,31,0,0,0
12/20/12,47,27,0,0,0
12/21/12,47,31,1.55,0,0
12/22/12,38,33,0,0,0
12/23/12,37,19,0,0,0
12/24/12,46,20,0,0,0
12/25/12,34,23,0.25,2.6,2
12/26/12,41,26,0,0,0
12/27/12,34,25,1.16,3.8,2
12/28/12,33,29,0,0,2
12/29/12,35,23,0.04,0.5,2
12/30/12,34,27,0.3,3.7,6
12/31/12,34,13,0,0,5
1/1/16,47,34,0,0,0
1/2/16,37,26,0,0,0
1/3/16,42,23,0,0,0
1/4/16,45,26,0,0,0
1/5/16,31,9,0,0,0
1/6/16,32,8,0,0,0
1/7/16,38,9,0,0,0
1/8/16,42,15,0,0,0
1/9/16,37,30,0.17,0,0
1/10/16,48,35,1.84,0,0
1/11/16,56,20,0.16,0,0
1/12/16,31,18,0,0,0
1/13/16,38,14,0.03,0.6,0
1/14/16,23,13,0,0,0
1/15/16,48,21,0,0,0
1/16/16,47,24,0.34,0,0
1/17/16,48,31,0,0,0
1/18/16,33,11,0,0,0
1/19/16,19,9,0,0,0
1/20/16,23,10,0,0,0
1/21/16,26,14,0,0,0
1/22/16,31,18,0,0,0
1/23/16,23,18,1.25,14,12
1/24/16,27,10,1.2,13,24
1/25/16,34,5,0,0,22
1/26/16,37,9,0,0,20
1/27/16,44,28,0,0,18
1/28/16,38,7,0,0,14
1/29/16,38,6,0,0,12
1/30/16,36,11,0.01,0.2,11
1/31/16,41,14,0,0,10
2/1/16,55,27,0,0,9
2/2/16,53,21,0.08,0,9
2/3/16,44,24,0.14,0,6
2/4/16,49,34,1.26,0,2
2/5/16,44,34,0,0,2
2/6/16,38,20,0,0,1
2/7/16,41,19,0,0,0
2/8/16,43,20,0,0,0
2/9/16,42,22,0.16,1.4,1
2/10/16,34,25,0.25,2.6,4
2/11/16,31,14,0,0,3
2/12/16,21,1,0,0,3
2/13/16,24,2,0.03,0.6,3
2/14/16,16,-3,0,0,3
2/15/16,20,-3,0.04,1.3,4
2/16/16,31,15,0.62,2.3,3
2/17/16,43,31,1.2,0,2
2/18/16,39,22,0,0,1
2/19/16,32,14,0,0,1
2/20/16,34,16,0,0,0
2/21/16,61,24,0,0,0
2/22/16,47,26,0.11,0,0
2/23/16,46,26,0,0,0
2/24/16,37,33,0.3,0,0
2/25/16,54,35,1.42,0,0
2/26/16,42,28,0,0,0
2/27/16,34,18,0,0,0
2/28/16,42,18,0,0,0
2/29/16,65,29,0,0,0
3/1/16,55,28,0.01,0,0
3/2/16,61,30,0.03,0,0
3/3/16,35,18,0,0,0
3/4/16,36,20,0.06,0.8,1
3/5/16,36,28,0,0,0
3/6/16,37,28,0,0,0
3/7/16,47,24,0,0,0
3/8/16,67,24,0,0,0
3/9/16,76,37,0,0,0
3/10/16,78,38,0,0,0
3/11/16,78,51,0,0,0
3/12/16,68,32,0,0,0
3/13/16,56,34,0,0,0
3/14/16,57,43,1,0,0
3/15/16,46,41,0.05,0,0
3/16/16,58,38,0,0,0
3/17/16,69,35,0,0,0
3/18/16,59,33,0.04,0,0
3/19/16,60,32,0,0,0
3/20/16,39,33,0.03,0,0
3/21/16,40,28,0,0,0
3/22/16,47,24,0,0,0
3/23/16,58,27,0,0,0
3/24/16,71,33,0,0,0
3/25/16,74,38,0,0,0
3/26/16,65,27,0.07,0,0
3/27/16,54,27,0,0,0
3/28/16,54,39,0.7,0,0
3/29/16,61,39,0.09,0,0
3/30/16,55,24,0,0,0
3/31/16,60,24,0,0,0
4/1/16,70,38,0,0,0
4/2/16,79,46,0,0,0
4/3/16,59,28,0.1,0,0
4/4/16,45,28,0,0,0
4/5/16,62,23,0.11,0,0
4/6/16,42,20,0,0,0
4/7/16,53,20,0,0,0
4/8/16,57,36,0.6,0,0
4/9/16,48,29,0.06,0,0
4/10/16,45,22,0.04,0.2,0
4/11/16,46,23,0.03,0,0
4/12/16,68,39,0.03,0,0
4/13/16,56,26,0,0,0
4/14/16,54,27,0,0,0
4/15/16,60,28,0,0,0
4/16/16,63,30,0,0,0
4/17/16,68,34,0,0,0
4/18/16,73,34,0,0,0
4/19/16,80,45,0,0,0
4/20/16,75,34,0,0,0
4/21/16,69,34,0,0,0
4/22/16,70,38,0,0,0
4/23/16,71,50,0.12,0,0
4/24/16,65,36,0,0,
4/25/16,65,36,0,0,0
4/26/16,78,37,0,0,0
4/27/16,80,49,0,0,0
4/28/16,51,46,0.07,0,0
4/29/16,50,43,0.38,0,0
4/30/16,49,43,0.09,0,0
5/1/16,58,44,0.5,0,0
5/2/16,54,48,0.2,0,0
5/3/16,76,52,0.73,0,0
5/4/16,65,52,0.67,0,0
5/5/16,55,46,0.07,0,0
5/6/16,56,47,0.06,0,0
5/7/16,53,47,0.53,0,0
5/8/16,61,46,0.02,0,0
5/9/16,66,37,0,0,0
5/10/16,63,47,0.02,0,0
5/11/16,54,47,0.09,0,0
5/12/16,58,46,0.01,0,0
5/13/16,70,52,0,0,0
5/14/16,75,45,0.09,0,0
5/15/16,70,39,0.25,0,0
5/16/16,55,30,0,0,0
5/17/16,66,39,0,0,0
5/18/16,58,47,0.15,0,0
5/19/16,56,47,0.06,0,0
5/20/16,70,42,0,0,0
5/21/16,72,46,0.3,0,0
5/22/16,54,49,0.74,0,0
5/23/16,58,50,0.1,0,0
5/24/16,73,51,0.23,0,0
5/25/16,80,52,0,0,0
5/26/16,84,54,0,0,0
5/27/16,87,61,0,0,0
5/28/16,87,61,0.7,0,0
5/29/16,88,59,0,0,0
5/30/16,82,60,0.28,0,0
5/31/16,83,61,0,0,0
6/1/16,84,58,0,0,0
6/2/16,85,60,0,0,0
6/3/16,78,64,0.05,0,0
6/4/16,76,64,0.24,0,0
6/5/16,81,66,0.01,0,0
6/6/16,81,60,0.43,0,0
6/7/16,83,62,0,0,0
6/8/16,81,49,0,0,0
6/9/16,65,43,0.1,0,0
6/10/16,75,44,0,0,0
6/11/16,78,54,0,0,0
6/12/16,91,57,0,0,0
6/13/16,85,55,0,0,0
6/14/16,75,56,0,0,0
6/15/16,78,52,0,0,0
6/16/16,78,57,0.19,0,0
6/17/16,78,61,0.6,0,0
6/18/16,83,53,0,0,0
6/19/16,84,57,0,0,0
6/20/16,86,57,0,0,0
6/21/16,88,63,0,0,0
6/22/16,80,64,0.35,0,0
6/23/16,81,59,0.2,0,0
6/24/16,81,63,0.11,0,0
6/25/16,80,59,0,0,0
6/26/16,81,55,0,0,0
6/27/16,83,57,0,0,0
6/28/16,80,61,0.05,0,0
6/29/16,87,61,0.04,0,0
6/30/16,76,57,0,0,0
7/1/16,81,58,0,0,0
7/2/16,85,57,0,0,0
7/3/16,75,57,0,0,0
7/4/16,74,60,0,0,0
7/5/16,69,63,0.69,0,0
7/6/16,85,68,0,0,0
7/7/16,90,65,0,0,0
7/8/16,85,69,0,0,0
7/9/16,85,67,0,0,0
7/10/16,88,64,0,0,0
7/11/16,84,55,0,0,0
7/12/16,86,57,0,0,0
7/13/16,86,61,0,0,0
7/14/16,87,65,0,0,0
7/15/16,93,68,0,0,0
7/16/16,88,65,0,0,0
7/17/16,87,61,0,0,0
7/18/16,89,61,0,0,0
7/19/16,89,65,0.47,0,0
7/20/16,88,61,0,0,0
7/21/16,83,56,0,0,0
7/22/16,89,60,0,0,0
7/23/16,89,65,0,0,0
7/24/16,96,64,0,0,0
7/25/16,94,67,0.03,0,0
7/26/16,96,68,0.1,0,0
7/27/16,92,70,0,0,0
7/28/16,92,68,0,0,0
7/29/16,89,68,0.35,0,0
7/30/16,89,66,0,0,0
7/31/16,80,67,0.35,0,0
8/1/16,87,67,0,0,0
8/2/16,83,65,0.32,0,0
8/3/16,83,65,0,0,0
8/4/16,82,60,0,0,0
8/5/16,82,60,0,0,0
8/6/16,80,64,0,0,0
8/7/16,91,59,0,0,0
8/8/16,87,63,0,0,0
8/9/16,81,57,0,0,0
8/10/16,76,59,0,0,0
8/11/16,92,72,0,0,0
8/12/16,94,71,0,0,0
8/13/16,96,71,0,0,0
8/14/16,98,72,0.35,0,0
8/15/16,94,68,0.04,0,0
8/16/16,90,69,0.06,0,0
8/17/16,92,69,0.49,0,0
8/18/16,88,69,0.2,0,0
8/19/16,88,63,0.03,0,0
8/20/16,88,62,0,0,0
8/21/16,89,62,0,0,0
8/22/16,85,65,0.21,0,0
8/23/16,80,51,0,0,0
8/24/16,83,52,0,0,0
8/25/16,87,56,0,0,0
8/26/16,90,61,0,0,0
8/27/16,92,62,0,0,0
8/28/16,91,62,0,0,0
8/29/16,91,62,0,0,0
8/30/16,91,59,0,0,0
8/31/16,89,59,0,0,0
9/1/16,92,61,0.1,0,0
9/2/16,82,58,0,0,0
9/3/16,78,58,0,0,0
9/4/16,80,54,0,0,0
9/5/16,82,52,0,0,0
9/6/16,88,52,0,0,0
9/7/16,90,61,0,0,0
9/8/16,94,62,0.07,0,0
9/9/16,94,73,0,0,0
9/10/16,93,70,0.31,0,0
9/11/16,95,71,0,0,0
9/12/16,80,51,0,0,0
9/13/16,80,52,0,0,0
9/14/16,88,54,0,0,0
9/15/16,90,57,0,0,0
9/16/16,76,59,0,0,0
9/17/16,72,57,0,0,0
9/18/16,78,61,0,0,0
9/19/16,85,64,0.46,0,0
9/20/16,75,60,0.06,0,0
9/21/16,82,58,0,0,0
9/22/16,83,54,0,0,0
9/23/16,85,53,0,0,0
9/24/16,90,54,0,0,0
9/25/16,75,42,0,0,0
9/26/16,73,42,0,0,0
9/27/16,63,51,0.1,0,0
9/28/16,76,47,0,0,0
9/29/16,69,57,2.44,0,0
9/30/16,62,54,1.1,0,0
10/1/16,57,53,0.38,0,0
10/2/16,60,55,0.19,0,0
10/3/16,70,53,0.06,0,0
10/4/16,71,49,0,0,0
10/5/16,71,50,0,0,0
10/6/16,67,44,0,0,0
10/7/16,70,49,0,0,0
10/8/16,75,50,0,0,0
10/9/16,65,51,0.27,0,0
10/10/16,64,40,0,0,0
10/11/16,62,32,0,0,0
10/12/16,63,34,0,0,0
10/13/16,65,37,0,0,0
10/14/16,65,35,0.02,0,0
10/15/16,61,32,0,0,0
10/16/16,65,33,0,0,0
10/17/16,73,41,0,0,0
10/18/16,79,50,0,0,0
10/19/16,83,51,0,0,0
10/20/16,84,59,0.01,0,0
10/21/16,81,59,0,0,0
10/22/16,70,49,0.01,0,0
10/23/16,55,45,0,0,0
10/24/16,65,44,0,0,0
10/25/16,62,33,0,0,0
10/26/16,55,27,0,0,0
10/27/16,53,28,0,0,0
10/28/16,52,43,0.38,0,0
10/29/16,57,33,0,0,0
10/30/16,75,34,0,0,0
10/31/16,78,44,0.25,0,0
11/1/16,55,31,0,0,0
11/2/16,56,36,0,0,0
11/3/16,75,41,0,0,0
11/4/16,71,47,0.01,0,0
11/5/16,59,34,0,0,0
11/6/16,64,39,0,0,0
11/7/16,63,29,0,0,0
11/8/16,60,29,0,0,0
11/9/16,70,30,0.09,0,0
11/10/16,53,33,0.14,0,0
11/11/16,60,34,0,0,0
11/12/16,61,23,0,0,0
11/13/16,49,24,0,0,0
11/14/16,60,25,0,0,0
11/15/16,59,25,0,0,0
11/16/16,60,32,0,0,0
11/17/16,59,32,0,0,0
11/18/16,58,32,0,0,0
11/19/16,74,33,0,0,0
11/20/16,66,35,0.13,0,0
11/21/16,39,31,0,0,0
11/22/16,39,29,0,0,0
11/23/16,45,21,0,0,0
11/24/16,48,21,0,0,0
11/25/16,48,36,0,0,0
11/26/16,52,28,0,0,0
11/27/16,47,36,0,0,0
11/28/16,47,22,0,0,0
11/29/16,47,22,0.62,0,0
11/30/16,54,41,0.77,0,0
12/1/16,55,45,0.84,0,0
12/2/16,51,37,0,0,0
12/3/16,44,38,0,0,0
12/4/16,44,34,0,0,0
12/5/16,42,34,0.25,0,0
12/6/16,50,28,0,0,0
12/7/16,38,31,0.86,0,0
12/8/16,46,27,0,0,0
12/9/16,43,25,0,0,0
12/10/16,34,23,0,0,0
12/11/16,32,20,0,0,0
12/12/16,31,23,0.5,0.2,0
12/13/16,47,23,0,0,0
12/14/16,39,25,0,0,0
12/15/16,38,17,0,0,0
12/16/16,19,9,0,0,0
12/17/16,24,11,0.22,0.5,1
12/18/16,49,21,0.23,0.2,0
12/19/16,55,22,0.22,0,0
12/20/16,30,10,0,0,0
12/21/16,34,11,0,0,0
12/22/16,41,23,0,0,0
12/23/16,50,23,0,0,0
12/24/16,42,26,0.12,0,0
12/25/16,45,28,0,0,0
12/26/16,45,24,0,0,0
12/27/16,44,32,0.03,0,0
12/28/16,59,34,0.04,0,0
12/29/16,42,22,0.22,1.1,1
12/30/16,46,27,0.05,0.1,0
12/31/16,37,17,0,0,0
1/1/20,48,35,0,0,0
1/2/20,42,21,0,0,0
1/3/20,44,22,0.06,0,0
1/4/20,44,39,0.22,0,0
1/5/20,55,33,0,0,0
1/6/20,39,27,0,0,0
1/7/20,47,25,0,0,0
1/8/20,37,18,0.14,3.1,3
1/9/20,37,11,0.03,0.6,2
1/10/20,29,11,0,0,2
1/11/20,51,26,0,0,0
1/12/20,66,51,0.55,0,0
1/13/20,60,30,0,0,0
1/14/20,47,32,0,0,0
1/15/20,42,31,0.08,0,0
1/16/20,55,33,0.01,0,0
1/17/20,48,24,0,0,0
1/18/20,32,18,0,0,0
1/19/20,32,20,0.52,1.5,1
1/20/20,35,18,0,0,1
1/21/20,29,10,0,0,1
1/22/20,29,10,0,0,0
1/23/20,36,13,0,0,0
1/24/20,37,16,0,0,0
1/25/20,46,29,1.53,0,0
1/26/20,46,33,0.11,0,0
1/27/20,42,34,0,0,0
1/28/20,42,34,0,0,0
1/29/20,41,32,0,0,0
1/30/20,41,17,0,0,0
1/31/20,34,17,0,0,0
2/1/20,39,23,0,0,0
2/2/20,39,28,0.09,0,0
2/3/20,54,37,0,0,0
2/4/20,66,38,0,0,0
2/5/20,67,34,0.05,0,0
2/6/20,39,33,0.19,0,0
2/7/20,43,33,0.58,0,0
2/8/20,44,28,0.44,0,0
2/9/20,39,24,0,0,0
2/10/20,43,28,0.03,0,0
2/11/20,41,36,0.21,0,0
2/12/20,50,30,0.02,0,0
2/13/20,42,30,0.21,0,0
2/14/20,47,27,0.06,0,0
2/15/20,29,9,0,0,0
2/16/20,31,9,0,0,0
2/17/20,40,24,0,0,0
2/18/20,50,26,0,0,0
2/19/20,49,33,0.03,0,0
2/20/20,47,22,0,0,0
2/21/20,36,16,0,0,0
2/22/20,36,16,0,0,0
2/23/20,52,19,0,0,0
2/24/20,57,20,0,0,0
2/25/20,56,25,0.02,0,0
2/26/20,46,40,0.02,0,0
2/27/20,49,30,0.85,0,0
2/28/20,36,26,0,0,0
2/29/20,40,23,0,0,0
3/1/20,31,16,0,0,0
3/2/20,47,16,0,0,0
3/3/20,63,27,0.16,0,0
3/4/20,53,36,0.36,0,0
3/5/20,58,26,0,0,0
3/6/20,51,26,0,0,0
3/7/20,48,29,0.04,0,0
3/8/20,47,25,0,0,0
3/9/20,60,25,0,0,0
3/10/20,72,29,0,0,0
3/11/20,65,33,0.11,0,0
3/12/20,47,33,0,0,0
3/13/20,61,40,0.21,0,0
3/14/20,69,38,0,0,0
3/15/20,54,35,0.13,0,0
3/16/20,50,27,0,0,0
3/17/20,50,29,0.02,0,0
3/18/20,57,28,0,0,0
3/19/20,52,28,0.86,0,0
3/20/20,56,45,0.01,0,0
3/21/20,80,42,0,0,0
3/22/20,48,28,0,0,0
3/23/20,47,29,0.03,0,0
3/24/20,44,34,0.21,0,0
3/25/20,53,41,0.02,0,0
3/26/20,42,37,0.42,0,0
3/27/20,58,39,0.02,0,0
3/28/20,65,46,0.32,0,0
3/29/20,50,45,0.48,0,0
3/30/20,54,46,0.01,0,0
3/31/20,67,42,0,0,0
4/1/20,49,38,0.11,0,0
4/2/20,55,37,0,0,0
4/3/20,58,39,0,0,0
